Beta,mu_IR,mu_EI,rho,eta,N,loglik,loglik.se
11.703666881150973,2,11.69437171396502,0.15299077333494202,0.19666666666666668,38000,-119.9216002517332,1.5699165062967733
11.703666881150973,2,11.69437171396502,0.15299077333494202,0.19666666666666668,38000,-119.9216002517332,1.5699165062967733
22.275318887950178,2,50.82374751444909,0.27267638034520475,0.10333333333333333,38000,-119.93658749805572,3.045091453504033
22.275318887950178,2,50.82374751444909,0.27267638034520475,0.10333333333333333,38000,-119.93658749805572,3.045091453504033
22.527119870778503,2,15.026056973001417,0.3427928396526567,0.09792222377127496,38000,-120.24383093196636,0.6568018216245208
22.527119870778503,2,15.026056973001417,0.3427928396526567,0.09792222377127496,38000,-120.24383093196636,0.6568018216245208
11.753804990881607,2,65.74544084358413,0.15466540060502493,0.19666666666666668,38000,-120.2901480032155,1.9645031394775987
11.753804990881607,2,65.74544084358413,0.15466540060502493,0.19666666666666668,38000,-120.2901480032155,1.9645031394775987
22.69070496179212,2,9.27995424660742,0.2808118627704324,0.10333333333333333,38000,-120.5303535734185,2.4842596205087397
22.69070496179212,2,9.27995424660742,0.2808118627704324,0.10333333333333333,38000,-120.5303535734185,2.4842596205087397
12.038577354802747,2,96.74842640115857,0.148341949696387,0.19666666666666668,38000,-120.53305797654909,1.0120223794491336
12.038577354802747,2,96.74842640115857,0.148341949696387,0.19666666666666668,38000,-120.53305797654909,1.0120223794491336
23.642162019575792,2,4.064385640679456,0.24732112354469477,0.10403818312566687,38000,-120.62953541036781,0.6152938191026285
23.642162019575792,2,4.064385640679456,0.24732112354469477,0.10403818312566687,38000,-120.62953541036781,0.6152938191026285
28.823698120558927,1.3,20.823569347293635,0.42119726677985603,0.06017291883465989,38000,-120.64009153179994,0.19919672707922373
28.823698120558927,1.3,20.823569347293635,0.42119726677985603,0.06017291883465989,38000,-120.64009153179994,0.19919672707922373
28.823698120558927,1.3,20.823569347293635,0.42119726677985603,0.06017291883465989,38000,-120.64009153179994,0.19919672707922373
28.823698120558927,1.3,20.823569347293635,0.42119726677985603,0.06017291883465989,38000,-120.64009153179994,0.19919672707922373
28.823698120558927,1.3,20.823569347293635,0.42119726677985603,0.06017291883465989,38000,-120.64009153179994,0.19919672707922373
26.248891405314467,1.3,12.345967360045483,0.34052887494486894,0.06805325673794033,38000,-120.65913805573412,0.27224671798901856
26.248891405314467,1.3,12.345967360045483,0.34052887494486894,0.06805325673794033,38000,-120.65913805573412,0.27224671798901856
26.248891405314467,1.3,12.345967360045483,0.34052887494486894,0.06805325673794033,38000,-120.65913805573412,0.27224671798901856
26.248891405314467,1.3,12.345967360045483,0.34052887494486894,0.06805325673794033,38000,-120.65913805573412,0.27224671798901856
26.248891405314467,1.3,12.345967360045483,0.34052887494486894,0.06805325673794033,38000,-120.65913805573412,0.27224671798901856
